Datetime	Call1	OpenInterest1	Call2	OpenInterest2	Call3	OpenInterest3	Call4	OpenInterest4	Call5	OpenInterest5
05/30/2024	530.0     	22659.0   	538.0     	15726.0   	527.0     	14715.0   	531.0     	14206.0   	528.0     	13415.0   
05/30/2024	535.0     	58201     	530.0     	33399     	540.0     	29315     	521.0     	23982     	560.0     	20788     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
05/31/2024	535.0     	57020     	530.0     	43574     	540.0     	28656     	521.0     	24465     	528.0     	23702     
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
06/01/2024	525.0     	8759      	530.0     	7333      	560.0     	5619      	524.0     	5414      	527.0     	4056      
